,product_id,product_name,reviewer,rating,review_date,advantages,disadvantages,comment,purchase_state
396,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Покупатель Wildberries,5,"06 июня, 10:26","Отличные джинсы, не угадала с размером большеват, но оставила, ушью",,,Выкупили
247,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Любовь,2,"14 июня, 17:17",,"Ткань тонкая, го грубая.",,Вернули
2308,183948489,Подарочный набор бокалов с надписью,Кристина,1,"07 марта, 11:37",,Один стакан был разбит,,Выкупили
1430,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Ольга,5,"18 июня, 19:15",Хорошие подгузники. Пользуемся с рождения. Аллергии нет,,,Выкупили
6181,142199442,Емкость для сыпучих продуктов баночки c наклейками,Дарья,5,"13 февраля, 02:10",,,,Выкупили
1740,183948489,Подарочный набор бокалов с надписью,Мистика,5,"16 апреля, 12:56",,,,Выкупили
11395,35778729,"Жиросжигатель для похудения капсулы, БАД",Алла,5,"22 июня, 10:41",,,"Капсулы имеют средний размер и их легко проглотить. Никаких неприятных ощущений при приеме я не испытывала. Моё чувство голода заметно снизилось, и это меня обрадовало, так как упрощает процесс снижения веса. По моему мнению, они действительно способствуют похудению именно за счёт снижения аппетита. Однако самое главное, что они эффективно подавляют голод. Я стала потреблять гораздо меньшие порции и с лёгкостью перешла на более здоровое питание. Даже сладости больше не вызывают прежнего интереса. Я занимаюсь спортом всего два раза в неделю, но до начала приема капсул меня не радовали результаты. Теперь же сокращение порций действительно приносит результаты, и я благодарна за эти капсулы.",Выкупили
3592,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Людмила Викторовна,5,"13 июня, 08:02",,,"Всё упокавали,разгрузили шифоньеры,супер",Выкупили
1935,183948489,Подарочный набор бокалов с надписью,Виктория,5,"21 марта, 15:39",Хорошие бокалы. Пришли целые. Упакованы надежно,,,Выкупили
927,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Покупатель Wildberries,3,"Вчера, 13:55",,"Не подошли, аллергия",,Выкупили
8498,28923876,Блузка базовая,Покупатель Wildberries,5,"12 июня, 10:43",,,"Спасибо, отличная кофточка",Выкупили
5176,160599645,Весы напольные электронные с приложением для дома 180 кг,Инна,5,"20 июня, 09:05",Компактность,Все хорошо,"Хорошие весы, очень удобно",Выкупили
2390,183948489,Подарочный набор бокалов с надписью,Владимир Иванюк,5,"05 марта, 21:43",Отличные бокалы. Брали 20 наборов.,"Один набор был разбит, проверяли дома.",,
12291,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Полина,5,"08 марта, 14:21",Все целое!,"Заказывала бокалы, а пришли чашечки для бухляшечки. Как можно так перепутать???!!! Хорошо, что все целое! И на этом спасибо. Как теперь подруге подарить???👿👿👿",,Выкупили
8866,28923876,Блузка базовая,Покупатель Wildberries,5,"21 мая, 17:36","Блузка красивая, цвет соответствует, как на картинке. Идёт в размер. Прошито аккуратно","Не хватает выточек по спине, но для меня это не проблема, сделаю сама.","Рекомендую, лёгкая и воздушная.",Выкупили
8618,28923876,Блузка базовая,Покупатель Wildberries,4,"06 июня, 15:17",,Не тот цвет.,,Выкупили
5803,142199442,Емкость для сыпучих продуктов баночки c наклейками,Олеся,5,"19 марта, 21:28",,,Брала на подарок подруге ей понравилось.,Выкупили
4401,160599645,Весы напольные электронные с приложением для дома 180 кг,Андрей Фротсков,5,"Сегодня, 16:25",простые в работе чётко показывают,Думали то что это наклейка это оказалось не наклейка на середине стекла прямо угольник думал то что это будет наклейка оказалось то что это это в самом стекле,Очень понравились,Выкупили
6143,142199442,Емкость для сыпучих продуктов баночки c наклейками,Покупатель Wildberries,5,"16 февраля, 18:08",Понравились,Нет,Очень удобные,Выкупили
9484,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Покупатель Wildberries,5,"16 июня, 21:42",,,Все круто! Товар на фото,Выкупили
10057,35778729,"Жиросжигатель для похудения капсулы, БАД",Лариса,5,"23 июня, 15:16",,,"Я получила свою банку в идеальном состоянии, она была надёжно запечатана, как и положено. Прочитав ранее отзывы о вскрытых банках и недостаточном количестве таблеток, я решила проверить свою. В моей банке было все 60 таблеток, хотя одна оказалась немного повреждённой. Вкус нейтральный, легко глотаются, не вызывают изжогу или другие неприятные ощущения. Эффект действительно есть: я перестала постоянно думать о еде, и вес постепенно уходит. За три недели я сбросила 2,5 кг, и это без каких-либо занятий спортом. Считаю это отличным результатом и буду заказывать ещё. К тому же, процесс заказа и доставки прошёл безупречно. Рекомендую всем, кто хочет плавно и безопасно похудеть.",Выкупили
1261,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Мария,5,"20 июня, 22:25","Боже мой, такой трепет первые подгузники , спасибо за товар ,беру не первый раз",,"Все подходит отлично,  впитывает отлично",Выкупили
10563,35778729,"Жиросжигатель для похудения капсулы, БАД",Валентина,5,"Сегодня, 16:10",,,"Я довольна результатами приема этих капсул, они помогли мне снизить вес и достичь желаемых результатов. Они эффективны и безопасны) Я очень хорошо похудела, чему безумно рада!",Выкупили
1396,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Гузель,5,"19 июня, 09:24","Мягкие, не протекают",,Второй год только эти подгузники используем. Они идеальны.,Выкупили
518,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Анна,1,"31 мая, 17:13",,Кривые карманы.,,Отказались
434,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Наталия,5,"04 июня, 12:48",Все понравилось.,Большемерят.,"Отличные джинсы,пошив,ткань,цвет,но мне велики,хотя всегда ношу 34 размер,перезаказала на 33. Звезды не снижаю,так как очень понравились.",Отказались
11183,35778729,"Жиросжигатель для похудения капсулы, БАД",Юлия,5,"22 июня, 22:01",,,"Получила целую упаковку , аппетит снижает , капсулы пьются легко, нет не приятного запаха, после курса дополню отзыв.",Выкупили
5228,142199442,Емкость для сыпучих продуктов баночки c наклейками,Александр,5,"Вчера, 06:17",То что надо!,,,Выкупили
8629,28923876,Блузка базовая,Оксана,5,"06 июня, 07:21","Хорошая блузка, на лето самое то",,,Выкупили
3455,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Елена,5,"20 июня, 21:53",Замечательные пакеты!,,,Выкупили
9932,35778729,"Жиросжигатель для похудения капсулы, БАД",Оксана,5,"23 июня, 21:21",,,Рекомендую. Очень быстро сбросила))),Выкупили
10116,35778729,"Жиросжигатель для похудения капсулы, БАД",Наталия,5,"23 июня, 12:18",,,"Лично мне очень понравились эти таблетки. Я долго выбирала, и решила остановить выбор именно на них, так как считаю их самыми эффективными. В месяц выходит скинуть до 6-ти килограмм, без особых усилий, и если вы правильно питаетесь и хоть мало мальски двигаетесь в течение дня. А так же придает сил и улучшает общее состояние организма. Мне он очень подходит. Спасибо за качественный продукт. Грамотный подход, молодцы.",Выкупили
9416,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Анна,5,"18 июня, 00:21","хорошо разъедает мейк , думаю с зеленым чаем так мягко очищает, раздражений и воспалений после него нету пока пользуюсь недолго, вообще очень приятная текстура)","коробка была мятая( для меня это не очень, так как я вешаю упаковки на стену и получается такой красивый стеллаж) 🥺",,Выкупили
6535,135895113,Блузка боди с длинным рукавом,Валентина,5,"03 октября 2024, 09:01","Шикарная вещь! Ткань очень приятная, сшито хорошо 👍🏻",,,
5769,142199442,Емкость для сыпучих продуктов баночки c наклейками,Анастасия,5,"25 марта, 11:13",Удобные,,,Выкупили
3859,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Лилия,5,"29 мая, 07:54","Заказываю второй раз, отличные пакеты!",,,Выкупили
