,product_id,product_name,reviewer,rating,review_date,advantages,disadvantages,comment,purchase_state
1932,183948489,Подарочный набор бокалов с надписью,Любовь,1,"21 марта, 18:56",,"Коробка вся рваная, бокал один колотый",,Вернули
8822,28923876,Блузка базовая,Ирина,1,"25 мая, 11:05",,,"Цвет не красный, а кирпичный",Выкупили
2304,183948489,Подарочный набор бокалов с надписью,Виктория,1,"07 марта, 13:25",,"Заказывала на подарок.У одного бокала сломана ножка, вообще не упаковывают нормально товар.",,Отказались
5419,142199442,Емкость для сыпучих продуктов баночки c наклейками,Михаил,1,"08 мая, 20:23",,,пришли все битые не советую,Отказались
2039,183948489,Подарочный набор бокалов с надписью,Оксана,1,"16 марта, 05:18",,,"Пришли разбитые, пришлось перезаказывать. Очень жаль",Отказались
1602,183948489,Подарочный набор бокалов с надписью,Маргарита,1,"20 мая, 04:57",,,"Всё отлично, рекомендую!",Выкупили
4273,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Александра,1,"06 мая, 13:11",Был упакован в обычный пакет и сверху прорезан на сквозь,,,Отказались
8428,28923876,Блузка базовая,Евгения,1,"15 июня, 12:18","Блузка пришла чуть другого цвета,  я не заметила,  открыта перед камерой,  оказалось мала.  Продавец отказалась принять назад из-за цвета.  На каком основании? Полнейшее безобразие,  если мала почему я должна покупать?","Не соответствует размеру,  цвет немного другой,  я бы взяла если бы подошла по размеру.","Моё мнение у них видно по любому надо впихивать товар,  даже если мало.",Вернули
8576,28923876,Блузка базовая,Элла,1,"08 июня, 20:33",Невозможно даде надеть-ужасная синтетика,,,Отказались
9576,35778729,"Жиросжигатель для похудения капсулы, БАД",мария,1,"Сегодня, 20:10",,"Принимаю две недели,есть хочется ещё больше,набрала вес,хотя не ем сладкое,мучное, жареное и много хожу,делаю зарядку.",,Выкупили
8049,10147914,Офисная базовая блузка,Покупатель Wildberries,1,"Сегодня, 09:14",,,"Блузка пришла неопрятная. Её или носили или она уже замеренная до такого состояния, что мерить её не хочется. Такие вещи нужно уже списывать, а не отправлять людям.",Отказались
1933,183948489,Подарочный набор бокалов с надписью,Елена,1,"21 марта, 17:05",,,"Бокалы пришли битые😭
И именинник остался без подарка🤕",Отказались
4374,160599645,Весы напольные электронные с приложением для дома 180 кг,Дмитрий,1,"Сегодня, 19:16 • Дополнен",,,"Весы возвращены обратно из-за некорректной работы, а именно точность взвешивания.",Выкупили
171,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Зарина,1,"17 июня, 20:25","Внимательно проверяйте качество пошива. Я выкупила, тк подошёл размер и не носила пару недель, когла дршло до них дело-внутри заметила толстые швы, вызывают дискомфорт .Оформила возврат, продавец отклонил ! Вб естественно тут не поможет,ответили, что все проверили. Только как они проверили? Я им эту вещь в руки не давала, больше фото не запрашивали.",Неудобные внутри швы,,Выкупили
7706,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Виталий,1,"19 июня, 12:18",,Пришло разбитая бутылка. За возврат не вернули деньги,,Выкупили
2338,183948489,Подарочный набор бокалов с надписью,Покупатель Wildberries,1,"06 марта, 20:17","Ничего хорошего.
Пришли битые!!!!",,,Отказались
11576,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Таня,1,"29 мая, 19:37",,Прислали абсолютно другой товар. С одним бокалом. Оформили возврат,,Отказались
1363,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Ольга,1,"19 июня, 17:52",,"Разрезаны и пленка и сама упаковка, подгузники открыты",,Отказались
1506,183948489,Подарочный набор бокалов с надписью,Надежда,1,"04 июня, 11:13",ну ничего,пришло разбитое,"возврат, пришел быстро , но разбито",Отказались
4021,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Татьяна,1,"20 мая, 12:18",,,"Просто ужасно, запечаталось всего 3 средних пакета. Насос шумит, но не забирает воздух. Пришлось сдувать пылесосом. Просто так хотелось насос взять в дорогу. Очень разочарована. Хотя там был один негативный отзыв, надеялась, что исправили. Испорченное настроение.",Выкупили
162,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Маргарита,1,"18 июня, 06:25",,,Не соответствует размеру,Отказались
8961,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Лена,1,"Вчера, 18:07",,"Был большой заказ в доставке,этого средства не оказалось !",,Выкупили
2350,183948489,Подарочный набор бокалов с надписью,Наталья,1,"06 марта, 17:29",,Пришел разбитый стакан(,,Отказались
12298,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Наталия,1,"08 марта, 11:24",,Пришли битые,,Отказались
9270,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Татьяна,1,"20 июня, 15:03",,"Дата срока годности на упаковке , упаковка не запечатана как положено , сомневаюсь , что не просрочка",,Выкупили
9065,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Покупатель Wildberries,1,"24 июня, 07:27",Ничего,"Жидкий, после умывания на руках остаётся жирность.",Зря потратила деньги .,Выкупили
6665,135895113,Блузка боди с длинным рукавом,Марина,1,"21 марта 2024, 08:23",,,"Качество ткани ужасная синтетика. Как оно упаковано было просто молчу , жаль не сфотографировала. Даже сотрудник пвз в шоке был . Давно придумали зип пакеты для этого",
1482,183948489,Подарочный набор бокалов с надписью,Юлия,1,"11 июня, 07:51",,Приехали на пункт выдачи разбитые,,Отказались
9628,35778729,"Жиросжигатель для похудения капсулы, БАД",Вероника,1,"Сегодня, 15:38",,,"Непереносимость . Отеки, аллергия",Выкупили
2133,183948489,Подарочный набор бокалов с надписью,Екатерина,1,"12 марта, 16:44",,"Товар пришёл полностью разбитый. Опознавательных знаков, что ""хрупкое"" не было. Видимо товар пинали все кому ни лень. Очень расстроена .",,
3512,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Покупатель Wildberries,1,"17 июня, 13:09",Вообще не понравилось не держать вакум,,,Выкупили
8685,28923876,Блузка базовая,Татьяна,1,"03 июня, 22:16",,"Прислали совершенно  другой цвет. Заказала голубой, а прислали какой-то фиолетовый.",,Отказались
2766,3932186,Мультибокс для овощерезки «Практика»,Наталья,1,"20 марта, 19:11 • Дополнен",,,"Пришла явная подделка.Вставка не держится в основной раме,выпадает.Сама рама очень хлипкая,посильнее надавишь сломается!!!Ни на лезвие ни на раме нет надписи. berner.Рама очень лёгкая.У меня есть терка данной марки.(Эту купила в подарок дочери)Мне есть с чем сравнить.Полнейшее разочарование в продавце!!!!",Выкупили
7450,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Евгения,1,"22 июня, 09:09",,Брак,Пришёл разбитый,
8508,28923876,Блузка базовая,Ольга,1,"11 июня, 17:27",,,"Либо тот кто собирал заказ страдает дальтонизмом, либо кто другой, но если этот ярко розовый поросячий цвет бежево-розовый, то, наверное, у меня плохое зрение. Цвет ничего общего с фото не имеет",Отказались
2047,183948489,Подарочный набор бокалов с надписью,Виктория,1,"15 марта, 18:39",Ничего,"Спасибо большое, подарок испорчен, заказывала два бокала а пришёл один",Отказ,Отказались
9009,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Покупатель Wildberries,1,"Вчера, 03:42",Цена прям вау и масло просто шикарное отмывает даже стойкий макияж всегда пользовалась микситом и не когда не жаловалась думаю заказать ещё и не раз,,,Выкупили
9167,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Олеся,1,"22 июня, 13:49",,масло воняет! Не приятный запах очень явный!,,Выкупили
8408,28923876,Блузка базовая,Покупатель Wildberries,1,"16 июня, 13:05",,Возврат,Возврат из-за брака,Отказались
6998,135895113,Блузка боди с длинным рукавом,Юлия,1,"07 сентября 2023, 09:15",,,"Пришла не та блузка. Грязная, поношенная. В возврате отказали .",
3436,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Оля,1,"22 июня, 12:51",,В каждой упаковке 1-2 пакета бракованные!,,Выкупили
